PPSX00| xenon| 1.34| 6.270348837209303| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1238.4915007280797, 76.18224040395724, 464.79023282324573, 0.9957006475460455, 91.21537253439942, 0.5541152190541341, 0.5565078424120533]
PPSX00| xenon| 1.34| 7.267441860465116| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1193.0241469319112, 85.05499187065443, 499.24936657040735, 0.9969434641385047, 94.1749331882312, 0.5510913145600168, 0.5527809092326365]
PPSX00| xenon| 1.34| 8.26453488372093| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1152.2462497758415, 93.41846518716793, 529.1955564241724, 0.9977020256744827, 96.76473020413448, 0.5468917916800383, 0.5481514295917355]
PPSX00| xenon| 1.34| 9.261627906976745| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1114.8040379429317, 101.28727085038788, 554.8561221264627, 0.998187281411998, 99.0498307816486, 0.5416157471899999, 0.5425993270760282]
PPSX00| xenon| 1.34| 10.258720930232558| 162.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1079.8970836443223, 108.67873921004004, 576.5234156967092, 0.9985021872087948, 101.2346281369658, 0.536229215374186, 0.5370335911563268]
PPSX00| xenon| 1.34| 3.2790697674418605| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1553.7888145656898, 49.98177270221879, 387.53232735661214, 0.9829574555593762, 74.08037786867581, 0.5645913126171818, 0.5743802129217153]
PPSX00| xenon| 1.34| 4.276162790697675| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1465.2272033942554, 61.465045961781506, 445.6333790792612, 0.9912757510781756, 79.83627863178464, 0.5737784990547117, 0.5788283415897477]
PPSX00| xenon| 1.34| 5.273255813953488| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1400.4440113429243, 72.44586433956742, 500.1412625982464, 0.9950059427560294, 83.96387590066874, 0.5767627986896081, 0.5796576421363419]
PPSX00| xenon| 1.34| 6.270348837209303| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1347.8538866892623, 82.90935284158584, 549.8281752816648, 0.9969155294590504, 87.24611080208025, 0.5768035218089346, 0.5785881599436228]
PPSX00| xenon| 1.34| 7.267441860465116| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1302.6298081790014, 92.86917455113377, 594.5837086977343, 0.9979725676105073, 89.98743004413322, 0.5749656143545464, 0.5761336864511353]
PPSX00| xenon| 1.34| 8.26453488372093| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1262.2652207691015, 102.33826285512416, 634.5078555127171, 0.9985979392200507, 92.41892192647059, 0.5722035213093617, 0.5730069118270743]
PPSX00| xenon| 1.34| 9.261627906976745| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1225.3493082937368, 111.33103491847652, 669.8176645078173, 0.9989840892100611, 94.61866545227564, 0.5686901942730682, 0.5692685203052187]
PPSX00| xenon| 1.34| 10.258720930232558| 175.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1191.0365496417637, 119.86359860452774, 700.7847584600228, 0.9992329927812583, 96.67096999924217, 0.5647551202290494, 0.5651886239835954]
PPSX00| xenon| 1.34| 3.2790697674418605| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1666.1773883426972, 53.597051751848895, 444.9229155557468, 0.9845014824964988, 70.9749082418286, 0.5800495414722008, 0.589180973096466]
PPSX00| xenon| 1.34| 4.276162790697675| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1574.815948413169, 66.0622014294643, 514.147532693434, 0.9925081960831643, 76.41359514864435, 0.5902546934883725, 0.5947101452841946]
PPSX00| xenon| 1.34| 5.273255813953488| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1509.1014483911365, 78.06678304829282, 580.2037106403612, 0.9959630560604413, 80.28949341520473, 0.5943142798910501, 0.5967232180698311]
PPSX00| xenon| 1.34| 6.270348837209303| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1456.3438105280202, 89.58279828261831, 641.4257522954475, 0.9976567796685185, 83.36930459804599, 0.5955374884767053, 0.5969362416146552]
PPSX00| xenon| 1.34| 7.267441860465116| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1411.2746391522242, 100.6148561779311, 697.4910003900335, 0.9985597381607574, 85.95125441445855, 0.5949805493641777, 0.5958387131250352]
PPSX00| xenon| 1.34| 8.26453488372093| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1371.2404602648799, 111.17343990089901, 748.4412431151935, 0.9990701034686411, 88.21047598572159, 0.5932978799535948, 0.593850099100896]
PPSX00| xenon| 1.34| 9.261627906976745| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1334.7671749154124, 121.27236695099343, 794.4708934263545, 0.9993747966502655, 90.27556232081037, 0.5910370849723708, 0.5914068345063601]
PPSX00| xenon| 1.34| 10.258720930232558| 187.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1300.9491882138493, 130.924992476388, 835.818626177436, 0.9995622791534169, 92.14432468536413, 0.587987288971885, 0.588244775973222]
PPSX00| xenon| 1.34| 3.8488372093023258| 106.97674418604652| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [887.7123852343952, 33.517439107191365, 157.79674658787312, 0.9248772036633847, 0.0902039278298691, 0.3927685809833421, 0.42467105841468317]
PPSX00| xenon| 1.34| 6.982558139534884| 106.97674418604652| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [694.3410400364007, 47.561594237856205, 173.6916464144454, 0.932586917917513, 0.10504647390346863, 0.3577612723069376, 0.3836224435850186]
PPSX00| xenon| 1.34| 3.8488372093023258| 130.2325581395349| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1119.1510603823633, 42.25589069393228, 244.33662845320077, 0.9493501117399705, 0.08361455544024998, 0.4589967466752645, 0.4834852189926166]
PPSX00| xenon| 1.34| 6.982558139534884| 130.2325581395349| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [916.550017647101, 62.782663740783676, 290.3013366896711, 0.9722677584543892, 0.10000751522949976, 0.4496015697066017, 0.4624256700863267]
PPSX00| xenon| 1.34| 5.558139534883721| 111.62790697674419| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [815.3610242394725, 44.45784427492151, 188.29591489961214, 0.9442705856633044, 0.09910705717190686, 0.39636339521895037, 0.4197561601905925]
PPSX00| xenon| 1.34| 6.887596899224806| 111.62790697674419| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [744.1221335047077, 50.27834246683512, 194.30571113216138, 0.9444492374877556, 0.10405010013193618, 0.3797744441701264, 0.40211207664302884]
PPSX00| xenon| 1.34| 8.217054263565892| 111.62790697674419| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [682.7896770444578, 55.039199501662786, 196.17030492133043, 0.939647147908348, 0.10753797934978249, 0.3601536578431839, 0.3832860650350346]
PPSX00| xenon| 1.34| 5.558139534883721| 121.70542635658914| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [912.5716728974293, 49.758288803688, 232.32357394917793, 0.9586898997088366, 0.09659914521283437, 0.4323936215996927, 0.4510255315415494]
PPSX00| xenon| 1.34| 6.887596899224806| 121.70542635658914| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [840.761267507624, 56.807990297914266, 243.45354118884157, 0.9622879276680958, 0.10191473276189332, 0.420289633282965, 0.43676078770046445]
PPSX00| xenon| 1.34| 8.217054263565892| 121.70542635658914| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [779.2485378142026, 62.81468097143231, 249.56384306363515, 0.962043038628506, 0.10588601601777, 0.4047190210841947, 0.4206870221327776]
PPSX00| xenon| 1.34| 5.558139534883721| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [1008.0868229891261, 54.96628568167617, 280.7088987202319, 0.9682269349919455, 0.09375480431417733, 0.46358618073723185, 0.4787990955251502]
PPSX00| xenon| 1.34| 6.887596899224806| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [935.7398583990854, 63.22543967193979, 298.10650062607607, 0.9734520234982951, 0.09923380213377572, 0.45546370250938994, 0.46788510529013017]
PPSX00| xenon| 1.34| 8.217054263565892| 131.7829457364341| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [874.3360375673894, 70.47961798642059, 309.8605729717075, 0.975471561471606, 0.1034638756115907, 0.44371706663982513, 0.4548744260370125]
PPSX00| xenon| 1.34| 4.988372093023257| 116.27906976744185| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [895.3418831229214, 43.814387926790516, 202.7993649995637, 0.9488074166071193, 0.09512614158869986, 0.41776090394051774, 0.4403010522771911]
